month_of_year,name,address,transfer_metric
1,UCoin,0xa918897bd10d6dee614470c24a061b78b021b3a9,600001009034198002801980198019801981.00
1,Bodhi Inu,0x6d52e8659d33c45fea4a5a1358531d1b6f546714,11231610324242787625531742264486606.00
1,SHIBA ORIGINAL,0x2055d0a13291eb71de077b9892bb2ccd1d3e1774,3521833333686148681767596183967421.00
1,SHIBA  INU,0x77d47afe50e1a932791275d73495d9a561c804cd,1000000000000000000000000000000000.00
1,CyberDoge,0x7684fff05a3999111dcb24738dbf3fbb67c02098,8257177491895262122976457722073664.00
1,Anim.AI,0x62bb1fe7ab796ca718634f3b2ec61ad4111c0cb6,12353728302401994232828524709406104.00
2,UCoin,0xa918897bd10d6dee614470c24a061b78b021b3a9,13419540300298975162400000000000000.00
2,Tether,0xade2a9c8b033d60ffcdb8cfc974dd87b2a9c1f27,100000010000000000000000000000000000.00
2,The Kami Shinto,0x51ba075966e920c52ac2795e4205432277d64167,839814400000000000000000000000000000.00
2,$Wokeai,0x76e50007826ce1fade2465f27d432b706f54f9b7,3993298695362858506735182434265345.00
3,PAWZONE,0xf1c395c5a1e0e2beb333b27d4af3ef539fc12e9d,3399956891982696985071773831239185.00
3,Artificial Nonsense,0x99ea21731f0e4297795c58319d9ec5556efd9db5,1908736391325744084179030486426930.00
3,SHIKOKU INU,0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,8787330036407555957963556341385260.00
3,SHIBARIUM GPT,0x93d59f061b3302537a755a7e2025c0f988702ef9,3899880192832472642262135877619037.00
4,SHIYA INU,0xf7e38763a21cfa377e577dfb2f79074a4b5eb2a8,1118248059060746599262177306407339.00
4,VORTEX,0xe6563268318766593fcb382a2946537102e076ee,4158083575147167437669888050772267.00
4,uni abihs,0x353d1b00d5505b87f9a7ac20a459d7d5381230ae,7942091645505738143051459144158681.00
4,Memecoin,0xcc19e8e4d099130e2dd89efb50c882cbd42bece1,3493540325000431551439369969613581.00
